month,customer_id,region,segment,tenure_months,products_held,transactions,engagement_score,support_tickets,marketing_touch,monthly_revenue,churned,data_source
2022-01-01,SYN-00070,Central,Consumer,36,4,81,0.6387,2,1,95.86,0,synthetic_demo
2022-01-01,SYN-00071,Central,Consumer,18,2,39,0.519,2,0,83.08,0,synthetic_demo
2022-01-01,SYN-00072,Central,Small Business,55,1,56,0.8879,0,0,146.27,0,synthetic_demo
2022-01-01,SYN-00073,West,Consumer,35,3,66,0.9626,1,1,41.15,0,synthetic_demo
2022-01-01,SYN-00074,Central,Small Business,30,1,43,0.449,1,0,116.52,0,synthetic_demo
2022-01-01,SYN-00075,Central,Small Business,59,1,56,1.0,2,0,348.71,0,synthetic_demo
2022-01-01,SYN-00076,Central,Consumer,36,4,55,0.4859,0,0,90.36,0,synthetic_demo
2022-01-01,SYN-00077,Central,Small Business,40,1,28,0.2078,1,1,122.14,0,synthetic_demo
2022-01-01,SYN-00078,East,Consumer,38,3,35,0.4017,1,0,59.71,0,synthetic_demo
2022-01-01,SYN-00079,East,Small Business,23,3,46,0.23,1,0,68.2,0,synthetic_demo
2022-01-01,SYN-00080,West,Consumer,13,4,51,0.213,2,0,34.21,0,synthetic_demo
2022-01-01,SYN-00081,East,Consumer,70,2,49,0.5042,1,1,91.32,0,synthetic_demo
2022-01-01,SYN-00082,Central,Consumer,10,1,47,0.8392,2,0,96.12,0,synthetic_demo
2022-01-01,SYN-00083,West,Consumer,29,2,43,0.6413,0,0,37.94,0,synthetic_demo
2022-01-01,SYN-00084,Central,Consumer,57,1,29,0.1842,1,0,40.39,0,synthetic_demo
2022-01-01,SYN-00085,Central,Small Business,13,1,40,0.5789,2,1,71.22,0,synthetic_demo
2022-01-01,SYN-00086,Central,Consumer,56,4,58,0.5434,3,0,56.46,0,synthetic_demo
2022-01-01,SYN-00087,East,Consumer,62,1,53,0.9856,0,0,107.19,0,synthetic_demo
2022-01-01,SYN-00088,East,Consumer,56,4,57,0.4655,0,1,8.48,0,synthetic_demo
2022-01-01,SYN-00089,Central,Consumer,27,1,39,0.8159,0,1,114.72,0,synthetic_demo
2022-01-01,SYN-00090,East,Consumer,4,1,35,0.4104,4,0,88.65,0,synthetic_demo
2022-01-01,SYN-00091,Central,Commercial,74,1,54,0.7874,0,1,222.5,0,synthetic_demo
2022-01-01,SYN-00092,East,Consumer,29,4,54,0.6696,1,1,23.41,0,synthetic_demo
2022-01-01,SYN-00093,Central,Consumer,68,4,51,0.675,1,0,55.44,0,synthetic_demo
2022-01-01,SYN-00094,Central,Consumer,19,2,35,0.2994,1,0,113.35,0,synthetic_demo
2022-01-01,SYN-00095,Central,Consumer,16,1,50,0.908,1,0,8.7,1,synthetic_demo
2022-01-01,SYN-00096,East,Consumer,66,4,54,0.6251,3,0,62.74,0,synthetic_demo
2022-01-01,SYN-00097,Central,Small Business,79,4,82,0.7166,1,1,70.51,0,synthetic_demo
2022-01-01,SYN-00098,Central,Consumer,72,4,55,0.9573,0,1,141.09,0,synthetic_demo
2022-01-01,SYN-00099,Central,Commercial,63,2,71,1.0,0,0,200.58,0,synthetic_demo
2022-01-01,SYN-00100,West,Consumer,22,1,23,0.4226,1,1,20.96,1,synthetic_demo
2022-01-01,SYN-00101,West,Consumer,76,1,37,0.3708,0,0,84.38,0,synthetic_demo
2022-01-01,SYN-00102,East,Small Business,57,3,37,0.4544,6,0,108.73,1,synthetic_demo
2022-01-01,SYN-00103,Central,Small Business,16,4,47,0.4113,2,1,116.83,0,synthetic_demo
2022-01-01,SYN-00104,West,Small Business,13,2,53,0.6864,2,0,144.99,0,synthetic_demo
2022-01-01,SYN-00105,West,Commercial,73,1,64,0.7706,0,0,124.27,0,synthetic_demo
2022-01-01,SYN-00106,East,Small Business,25,1,40,0.8381,1,0,229.1,0,synthetic_demo
2022-01-01,SYN-00107,Central,Small Business,65,4,49,0.712,2,0,77.18,0,synthetic_demo
2022-01-01,SYN-00108,Central,Consumer,14,2,46,0.5796,0,0,54.6,0,synthetic_demo
2022-01-01,SYN-00109,Central,Small Business,25,4,63,0.7103,0,1,123.24,0,synthetic_demo
2022-01-01,SYN-00110,West,Consumer,25,4,66,1.0,0,1,46.06,0,synthetic_demo
2022-01-01,SYN-00111,East,Consumer,25,4,57,0.5152,0,0,78.36,0,synthetic_demo
2022-01-01,SYN-00112,Central,Consumer,57,3,47,0.4619,2,0,22.19,1,synthetic_demo
2022-01-01,SYN-00113,Central,Commercial,77,1,55,0.9069,0,1,300.99,0,synthetic_demo
2022-01-01,SYN-00114,East,Commercial,76,1,46,0.5939,1,0,108.17,0,synthetic_demo
2022-01-01,SYN-00115,Central,Consumer,63,4,67,0.6161,3,0,7.26,1,synthetic_demo
2022-01-01,SYN-00116,West,Small Business,19,2,53,0.8622,0,1,197.7,0,synthetic_demo
2022-01-01,SYN-00117,West,Small Business,80,1,56,1.0,1,1,60.76,0,synthetic_demo
2022-01-01,SYN-00118,East,Consumer,46,1,41,0.863,0,0,42.22,0,synthetic_demo
2022-01-01,SYN-00119,Central,Consumer,47,1,44,0.7609,1,0,122.3,0,synthetic_demo
2022-01-01,SYN-00120,East,Consumer,59,3,43,0.3897,2,0,28.17,1,synthetic_demo
2022-01-01,SYN-00121,East,Small Business,65,3,45,0.4216,0,0,134.54,0,synthetic_demo
2022-01-01,SYN-00122,East,Consumer,80,4,64,0.6913,0,1,172.91,0,synthetic_demo
2022-01-01,SYN-00123,Central,Commercial,50,1,56,0.6591,2,0,277.81,0,synthetic_demo
2022-01-01,SYN-00124,Central,Consumer,52,3,63,0.6973,3,0,81.97,0,synthetic_demo
2022-01-01,SYN-00125,Central,Commercial,63,3,38,0.648,0,0,750.45,0,synthetic_demo
2022-01-01,SYN-00126,East,Consumer,23,3,56,0.6275,2,0,56.26,0,synthetic_demo
2022-01-01,SYN-00127,Central,Small Business,27,1,36,0.7822,2,0,90.56,0,synthetic_demo
2022-01-01,SYN-00128,Central,Consumer,53,3,23,0.2124,1,1,72.41,0,synthetic_demo
2022-01-01,SYN-00129,Central,Consumer,8,4,52,0.4964,2,0,80.47,0,synthetic_demo
2022-01-01,SYN-00130,East,Small Business,28,3,40,0.279,2,0,75.78,0,synthetic_demo
2022-01-01,SYN-00131,Central,Commercial,61,3,41,0.1591,6,1,61.46,1,synthetic_demo
2022-01-01,SYN-00132,West,Small Business,82,3,60,0.6027,0,1,355.67,0,synthetic_demo
2022-01-01,SYN-00133,East,Consumer,45,3,56,0.5788,1,0,83.64,0,synthetic_demo
2022-01-01,SYN-00134,Central,Consumer,35,3,48,0.4725,7,0,64.84,0,synthetic_demo
2022-01-01,SYN-00135,East,Consumer,38,3,58,0.7871,1,0,122.44,0,synthetic_demo
2022-01-01,SYN-00136,Central,Consumer,58,1,53,0.8707,1,0,83.07,0,synthetic_demo
2022-01-01,SYN-00137,West,Consumer,47,3,32,0.277,1,1,39.57,0,synthetic_demo
2022-01-01,SYN-00138,East,Small Business,4,2,53,0.4351,2,0,140.23,0,synthetic_demo
2022-01-01,SYN-00139,West,Small Business,46,4,47,0.314,2,0,54.45,0,synthetic_demo
2022-01-01,SYN-00140,Central,Small Business,35,4,53,0.5636,1,0,146.56,0,synthetic_demo
2022-01-01,SYN-00141,East,Small Business,59,4,50,0.4147,4,0,133.04,1,synthetic_demo
2022-01-01,SYN-00142,East,Small Business,73,2,29,0.1282,0,0,116.45,0,synthetic_demo
2022-01-01,SYN-00143,West,Consumer,80,3,33,0.2012,0,0,34.85,0,synthetic_demo
2022-01-01,SYN-00144,East,Consumer,52,1,30,0.4724,3,1,50.55,0,synthetic_demo
2022-01-01,SYN-00145,East,Consumer,32,1,36,0.3688,5,0,60.47,0,synthetic_demo
2022-01-01,SYN-00146,Central,Small Business,38,1,36,0.6397,2,1,110.11,0,synthetic_demo
2022-01-01,SYN-00147,Central,Consumer,17,4,47,0.5245,2,0,56.09,0,synthetic_demo
2022-01-01,SYN-00148,East,Consumer,78,2,51,0.6016,0,0,106.55,0,synthetic_demo
2022-01-01,SYN-00149,Central,Consumer,71,4,51,0.5539,1,1,44.39,0,synthetic_demo
2022-01-01,SYN-00150,Central,Consumer,72,3,42,0.7761,0,0,96.75,0,synthetic_demo
2022-01-01,SYN-00151,West,Consumer,29,3,63,0.4678,0,0,40.11,0,synthetic_demo
2022-01-01,SYN-00152,West,Small Business,29,2,67,0.9881,0,0,165.54,0,synthetic_demo
2022-01-01,SYN-00153,Central,Consumer,72,1,40,0.6528,2,0,52.8,0,synthetic_demo
2022-01-01,SYN-00154,East,Consumer,47,1,30,0.25,8,0,106.11,0,synthetic_demo
2022-01-01,SYN-00155,Central,Small Business,60,2,35,0.2135,4,1,184.15,0,synthetic_demo
2022-01-01,SYN-00156,East,Consumer,42,3,56,0.9135,0,1,146.55,0,synthetic_demo
2022-01-01,SYN-00157,Central,Small Business,38,4,47,0.5258,1,0,57.95,0,synthetic_demo
2022-01-01,SYN-00158,East,Consumer,54,2,30,0.223,1,0,10.31,1,synthetic_demo
2022-01-01,SYN-00159,East,Consumer,68,2,35,0.2663,0,1,67.37,0,synthetic_demo
2022-01-01,SYN-00160,West,Consumer,30,4,61,0.586,3,1,12.8,1,synthetic_demo
2022-01-01,SYN-00161,Central,Consumer,68,2,40,0.6626,0,1,78.38,0,synthetic_demo
2022-01-01,SYN-00162,West,Small Business,22,3,55,0.6417,0,0,149.34,0,synthetic_demo
2022-01-01,SYN-00163,Central,Consumer,35,2,53,0.8996,0,0,106.57,0,synthetic_demo
2022-01-01,SYN-00164,Central,Consumer,76,1,43,0.6014,3,0,78.11,0,synthetic_demo
2022-01-01,SYN-00165,East,Consumer,80,3,49,0.3719,4,0,63.47,0,synthetic_demo
2022-01-01,SYN-00166,Central,Small Business,77,1,34,0.3791,2,0,201.75,0,synthetic_demo
2022-01-01,SYN-00167,West,Small Business,28,4,54,0.4259,1,1,182.02,0,synthetic_demo
2022-01-01,SYN-00168,West,Commercial,71,3,45,0.4547,1,0,65.72,0,synthetic_demo
2022-01-01,SYN-00169,Central,Consumer,78,1,32,0.3931,3,0,53.48,0,synthetic_demo
2022-01-01,SYN-00170,West,Consumer,82,2,27,0.2703,2,1,55.79,0,synthetic_demo
2022-01-01,SYN-00171,Central,Consumer,4,4,75,0.9617,0,1,24.06,0,synthetic_demo
2022-01-01,SYN-00172,East,Consumer,63,2,33,0.1363,2,0,8.59,1,synthetic_demo
2022-01-01,SYN-00173,Central,Commercial,83,3,42,0.5765,0,1,397.68,0,synthetic_demo
2022-01-01,SYN-00174,West,Small Business,64,1,42,0.613,3,0,70.53,0,synthetic_demo
2022-01-01,SYN-00175,Central,Consumer,21,2,58,0.6466,2,1,98.84,0,synthetic_demo
2022-01-01,SYN-00176,Central,Consumer,64,1,61,0.8275,1,0,54.56,0,synthetic_demo
2022-01-01,SYN-00177,Central,Small Business,11,2,64,1.0,0,0,111.73,0,synthetic_demo
2022-01-01,SYN-00178,West,Consumer,41,2,59,0.6592,1,0,136.68,0,synthetic_demo
2022-01-01,SYN-00179,West,Consumer,53,1,25,0.3693,3,0,38.99,0,synthetic_demo
2022-01-01,SYN-00180,West,Consumer,39,3,49,0.5237,1,0,71.05,0,synthetic_demo
2022-01-01,SYN-00181,West,Consumer,59,3,49,0.708,1,0,28.15,0,synthetic_demo
2022-01-01,SYN-00182,West,Consumer,22,1,32,0.3904,2,0,131.79,0,synthetic_demo
2022-01-01,SYN-00183,East,Consumer,52,4,47,0.4947,2,0,72.41,0,synthetic_demo
2022-01-01,SYN-00184,Central,Consumer,55,2,36,0.2808,3,0,50.87,0,synthetic_demo
2022-01-01,SYN-00185,West,Consumer,54,1,39,0.4903,1,0,72.71,0,synthetic_demo
2022-01-01,SYN-00186,East,Consumer,26,4,60,0.3676,1,1,35.47,0,synthetic_demo
2022-01-01,SYN-00187,Central,Consumer,27,4,55,0.5176,2,0,125.21,0,synthetic_demo
2022-01-01,SYN-00188,Central,Commercial,23,3,66,0.821,1,1,215.02,0,synthetic_demo
2022-01-01,SYN-00189,West,Small Business,40,2,59,0.8491,0,0,134.82,0,synthetic_demo
2022-01-01,SYN-00190,Central,Consumer,50,2,34,0.453,4,0,26.01,1,synthetic_demo
2022-01-01,SYN-00191,West,Consumer,32,4,68,0.8205,0,0,57.85,0,synthetic_demo
2022-01-01,SYN-00192,Central,Small Business,36,2,33,0.2196,1,0,122.12,0,synthetic_demo
2022-01-01,SYN-00193,Central,Consumer,26,1,40,0.9315,1,0,86.36,0,synthetic_demo
2022-01-01,SYN-00194,West,Consumer,20,3,54,0.766,0,0,99.28,0,synthetic_demo
2022-01-01,SYN-00195,Central,Small Business,56,2,25,0.2203,2,1,26.81,1,synthetic_demo
2022-01-01,SYN-00196,Central,Consumer,69,4,74,0.9002,1,0,94.1,0,synthetic_demo
2022-01-01,SYN-00197,East,Small Business,26,2,46,0.8134,3,0,111.06,0,synthetic_demo
2022-01-01,SYN-00198,West,Consumer,72,4,69,1.0,0,0,230.71,0,synthetic_demo
2022-01-01,SYN-00199,Central,Consumer,49,1,47,0.7563,2,0,42.56,0,synthetic_demo
2022-01-01,SYN-00200,Central,Consumer,16,3,56,0.6803,0,0,127.81,0,synthetic_demo
2022-01-01,SYN-00201,West,Consumer,32,3,36,0.3341,0,0,110.86,0,synthetic_demo
2022-01-01,SYN-00202,West,Consumer,3,2,56,0.8336,0,1,31.65,0,synthetic_demo
2022-01-01,SYN-00203,East,Consumer,6,3,56,0.622,2,1,191.57,0,synthetic_demo
2022-01-01,SYN-00204,Central,Small Business,30,4,43,0.4744,2,0,158.16,0,synthetic_demo
2022-01-01,SYN-00205,Central,Consumer,39,4,47,0.6081,1,0,105.69,0,synthetic_demo
2022-01-01,SYN-00206,Central,Consumer,67,3,60,0.7434,0,1,83.55,0,synthetic_demo
2022-01-01,SYN-00207,Central,Small Business,13,1,23,0.2804,2,0,96.47,0,synthetic_demo
2022-01-01,SYN-00208,East,Small Business,70,2,40,0.6478,1,1,107.48,0,synthetic_demo
2022-01-01,SYN-00209,Central,Consumer,21,2,43,0.3445,2,0,103.39,0,synthetic_demo
2022-01-01,SYN-00210,East,Consumer,14,3,59,0.7951,2,0,141.42,0,synthetic_demo
2022-01-01,SYN-00211,East,Commercial,59,2,53,1.0,1,1,297.51,0,synthetic_demo
2022-01-01,SYN-00212,East,Consumer,65,1,42,0.4209,4,0,51.66,0,synthetic_demo
2022-01-01,SYN-00213,Central,Small Business,51,3,48,0.6797,3,0,172.64,0,synthetic_demo
2022-01-01,SYN-00214,West,Small Business,12,4,54,0.6131,0,0,185.01,0,synthetic_demo
2022-01-01,SYN-00215,East,Small Business,12,3,64,0.8845,0,0,195.13,0,synthetic_demo
2022-01-01,SYN-00216,West,Consumer,34,4,61,0.662,1,1,109.01,0,synthetic_demo
2022-01-01,SYN-00217,Central,Consumer,39,3,47,0.7627,0,0,67.57,0,synthetic_demo
2022-01-01,SYN-00218,Central,Consumer,83,1,43,0.4084,2,1,72.15,0,synthetic_demo
2022-01-01,SYN-00219,West,Consumer,26,2,45,0.2606,1,1,52.79,0,synthetic_demo
2022-01-01,SYN-00220,Central,Commercial,18,1,46,0.7223,0,0,100.55,0,synthetic_demo
2022-01-01,SYN-00221,Central,Consumer,79,3,68,0.808,3,0,82.48,0,synthetic_demo
2022-01-01,SYN-00222,East,Consumer,15,3,59,0.8218,2,0,77.9,0,synthetic_demo
2022-01-01,SYN-00223,East,Consumer,5,2,46,0.535,1,0,65.91,0,synthetic_demo
2022-01-01,SYN-00224,West,Commercial,37,2,57,0.8296,0,1,62.76,0,synthetic_demo
2022-01-01,SYN-00225,Central,Consumer,35,2,47,0.6067,1,1,37.59,0,synthetic_demo
2022-01-01,SYN-00226,West,Consumer,53,1,49,1.0,0,0,126.08,0,synthetic_demo
2022-01-01,SYN-00227,Central,Consumer,74,2,42,0.3153,1,1,41.51,0,synthetic_demo
2022-01-01,SYN-00228,East,Consumer,78,1,59,0.8146,2,0,70.21,0,synthetic_demo
2022-01-01,SYN-00229,East,Consumer,26,4,70,0.9378,0,0,49.59,0,synthetic_demo
2022-01-01,SYN-00230,Central,Consumer,82,4,51,0.3655,1,0,108.95,0,synthetic_demo
2022-01-01,SYN-00231,Central,Consumer,54,4,68,0.682,0,0,82.2,0,synthetic_demo
2022-01-01,SYN-00232,Central,Consumer,8,4,66,1.0,0,0,94.25,0,synthetic_demo
2022-01-01,SYN-00233,West,Consumer,79,2,32,0.1108,2,0,135.13,0,synthetic_demo
2022-01-01,SYN-00234,East,Consumer,14,3,56,0.1886,3,0,103.32,0,synthetic_demo
2022-01-01,SYN-00235,West,Consumer,50,4,55,0.4596,1,0,46.28,0,synthetic_demo
2022-01-01,SYN-00236,West,Small Business,67,2,53,0.7004,2,0,98.75,0,synthetic_demo
2022-01-01,SYN-00237,East,Consumer,23,4,49,0.3568,0,1,17.13,1,synthetic_demo
2022-01-01,SYN-00238,West,Consumer,24,2,54,0.7364,1,0,88.2,0,synthetic_demo
2022-01-01,SYN-00239,Central,Consumer,41,4,70,0.9633,1,0,78.27,0,synthetic_demo
2022-01-01,SYN-00240,Central,Consumer,74,3,44,0.5392,1,0,68.97,0,synthetic_demo
2022-01-01,SYN-00241,West,Consumer,21,4,59,0.6233,2,0,123.71,0,synthetic_demo
2022-01-01,SYN-00242,West,Consumer,56,1,54,0.8356,0,0,82.35,0,synthetic_demo
2022-01-01,SYN-00243,Central,Small Business,39,3,56,0.5633,2,0,328.77,0,synthetic_demo
2022-01-01,SYN-00244,East,Consumer,12,2,67,1.0,0,1,96.18,0,synthetic_demo
2022-01-01,SYN-00245,East,Consumer,60,1,58,0.8588,0,1,192.66,0,synthetic_demo
2022-01-01,SYN-00246,West,Consumer,70,2,66,0.843,1,0,95.39,0,synthetic_demo
2022-01-01,SYN-00247,East,Consumer,49,4,44,0.6155,0,1,118.97,0,synthetic_demo
2022-01-01,SYN-00248,Central,Consumer,17,2,39,0.3778,5,0,60.49,0,synthetic_demo
2022-01-01,SYN-00249,Central,Small Business,15,4,60,0.7611,0,1,44.96,1,synthetic_demo
2022-01-01,SYN-00250,Central,Small Business,37,2,49,0.4139,1,1,141.54,0,synthetic_demo
2022-01-01,SYN-00251,East,Consumer,44,2,36,0.3177,0,0,54.52,1,synthetic_demo
2022-01-01,SYN-00252,West,Consumer,47,3,32,0.1482,3,0,52.3,0,synthetic_demo
2022-01-01,SYN-00253,East,Consumer,22,4,67,0.7539,0,0,42.34,0,synthetic_demo
2022-01-01,SYN-00254,Central,Consumer,43,2,48,0.3271,0,0,23.84,0,synthetic_demo
2022-01-01,SYN-00255,Central,Small Business,26,3,47,0.5184,0,1,70.7,0,synthetic_demo
2022-01-01,SYN-00256,West,Consumer,58,1,32,0.2665,3,1,32.67,0,synthetic_demo
2022-01-01,SYN-00257,West,Consumer,67,4,56,0.4707,0,0,74.35,0,synthetic_demo
2022-01-01,SYN-00258,Central,Commercial,55,2,42,0.5936,3,1,361.6,0,synthetic_demo
2022-01-01,SYN-00259,Central,Consumer,3,1,33,0.3227,4,1,45.92,0,synthetic_demo
2022-01-01,SYN-00260,East,Consumer,83,2,38,0.3907,1,0,29.36,0,synthetic_demo
2022-01-01,SYN-00261,Central,Small Business,4,4,51,0.3767,2,0,95.42,0,synthetic_demo
2022-01-01,SYN-00262,West,Consumer,83,2,47,0.7028,1,0,64.78,0,synthetic_demo
2022-01-01,SYN-00263,Central,Consumer,5,4,57,0.4317,2,0,164.58,0,synthetic_demo
2022-01-01,SYN-00264,Central,Consumer,44,4,71,0.8075,0,0,31.0,0,synthetic_demo
2022-01-01,SYN-00265,West,Small Business,11,4,41,0.1149,1,0,23.06,1,synthetic_demo
2022-01-01,SYN-00266,Central,Consumer,10,1,48,0.442,0,0,47.03,1,synthetic_demo
2022-01-01,SYN-00267,Central,Consumer,58,3,49,0.4442,2,0,79.37,0,synthetic_demo
2022-01-01,SYN-00268,Central,Consumer,61,3,43,0.4951,1,0,39.34,1,synthetic_demo
2022-01-01,SYN-00269,Central,Consumer,12,3,43,0.6213,1,0,77.03,0,synthetic_demo
2022-01-01,SYN-00270,Central,Consumer,82,3,57,0.9757,0,0,98.12,0,synthetic_demo
2022-01-01,SYN-00271,Central,Consumer,28,2,48,0.4397,1,0,100.98,0,synthetic_demo
2022-01-01,SYN-00272,Central,Consumer,28,2,63,0.6565,2,0,50.15,0,synthetic_demo
2022-01-01,SYN-00273,Central,Consumer,27,2,56,0.7606,1,0,105.43,0,synthetic_demo
2022-01-01,SYN-00274,East,Small Business,40,2,41,0.3315,3,0,6.11,1,synthetic_demo
2022-01-01,SYN-00275,East,Consumer,17,2,32,0.2811,1,0,70.54,0,synthetic_demo
