month,customer_id,region,segment,monthly_revenue,churned,churn_probability,risk_band
2024-11-01,SYN-00459,West,Consumer,6.88,1,0.9345,High
2024-09-01,SYN-00488,Central,Consumer,12.33,1,0.9345,High
2024-07-01,SYN-00265,West,Small Business,32.7,1,0.9333,High
2024-08-01,SYN-00382,West,Consumer,40.48,1,0.933,High
2024-09-01,SYN-00236,West,Small Business,20.61,1,0.9322,High
2024-08-01,SYN-00137,West,Consumer,14.62,1,0.9315,High
2024-12-01,SYN-00204,Central,Small Business,39.12,1,0.9309,High
2024-09-01,SYN-00290,Central,Consumer,15.09,1,0.9307,High
2024-09-01,SYN-00453,East,Consumer,14.54,1,0.9305,High
2024-10-01,SYN-00354,East,Small Business,11.53,1,0.9301,High
2024-12-01,SYN-00008,West,Small Business,22.79,1,0.93,High
2024-07-01,SYN-00290,Central,Consumer,27.22,1,0.9279,High
2024-10-01,SYN-00089,Central,Consumer,21.95,1,0.9275,High
2024-11-01,SYN-00221,Central,Consumer,26.71,1,0.9268,High
2024-09-01,SYN-00422,Central,Small Business,41.32,1,0.9265,High
2024-07-01,SYN-00145,East,Consumer,16.22,1,0.9263,High
2024-08-01,SYN-00440,East,Consumer,20.05,1,0.923,High
2024-09-01,SYN-00430,West,Small Business,25.96,1,0.9228,High
2024-08-01,SYN-00272,Central,Consumer,21.86,1,0.9226,High
2024-07-01,SYN-00274,East,Small Business,17.64,1,0.9225,High
2024-08-01,SYN-00397,West,Consumer,15.4,1,0.9223,High
2024-09-01,SYN-00494,Central,Consumer,15.94,1,0.9222,High
2024-12-01,SYN-00148,East,Consumer,16.66,1,0.922,High
2024-11-01,SYN-00207,Central,Small Business,41.74,1,0.9218,High
2024-09-01,SYN-00464,Central,Consumer,14.82,1,0.9214,High
2024-08-01,SYN-00124,Central,Consumer,32.61,1,0.921,High
2024-12-01,SYN-00023,West,Consumer,10.73,1,0.9206,High
2024-11-01,SYN-00208,East,Small Business,21.5,1,0.9195,High
2024-08-01,SYN-00284,Central,Consumer,4.85,1,0.9194,High
2024-11-01,SYN-00021,West,Small Business,35.76,1,0.9184,High
2024-07-01,SYN-00235,West,Consumer,17.17,1,0.9171,High
2024-08-01,SYN-00441,West,Consumer,30.69,1,0.9162,High
2024-07-01,SYN-00127,Central,Small Business,36.62,1,0.9157,High
2024-07-01,SYN-00455,Central,Commercial,29.57,1,0.9155,High
2024-09-01,SYN-00467,East,Commercial,39.45,1,0.9155,High
2024-08-01,SYN-00327,West,Consumer,23.15,1,0.9144,High
2024-10-01,SYN-00141,East,Small Business,28.6,1,0.9135,High
2024-12-01,SYN-00163,Central,Consumer,26.44,1,0.9131,High
2024-07-01,SYN-00115,Central,Consumer,38.56,0,0.9131,High
2024-08-01,SYN-00035,East,Consumer,11.35,1,0.9114,High
2024-07-01,SYN-00097,Central,Small Business,12.04,1,0.9114,High
2024-09-01,SYN-00342,West,Small Business,26.25,1,0.9111,High
2024-10-01,SYN-00390,West,Small Business,5.01,1,0.91,High
2024-07-01,SYN-00201,West,Consumer,40.89,1,0.9098,High
2024-09-01,SYN-00426,West,Consumer,15.85,1,0.9088,High
2024-08-01,SYN-00496,East,Consumer,10.05,1,0.9077,High
2024-10-01,SYN-00129,Central,Consumer,34.09,1,0.9074,High
2024-07-01,SYN-00164,Central,Consumer,20.49,1,0.907,High
2024-12-01,SYN-00489,East,Consumer,13.5,1,0.906,High
2024-07-01,SYN-00296,West,Consumer,27.48,1,0.9042,High
2024-08-01,SYN-00050,Central,Consumer,13.56,1,0.9036,High
2024-07-01,SYN-00130,East,Small Business,28.9,1,0.9036,High
2024-11-01,SYN-00340,West,Consumer,5.29,1,0.901,High
2024-10-01,SYN-00237,East,Consumer,12.55,1,0.9005,High
2024-10-01,SYN-00355,East,Consumer,38.1,1,0.8998,High
2024-09-01,SYN-00373,Central,Commercial,20.04,1,0.8997,High
2024-08-01,SYN-00024,West,Consumer,32.52,1,0.8996,High
2024-10-01,SYN-00305,West,Consumer,15.92,1,0.8993,High
2024-10-01,SYN-00289,East,Small Business,42.53,1,0.8984,High
2024-09-01,SYN-00053,West,Consumer,4.41,1,0.8983,High
2024-08-01,SYN-00086,Central,Consumer,6.49,1,0.8983,High
2024-11-01,SYN-00328,East,Consumer,39.2,1,0.8975,High
2024-12-01,SYN-00164,Central,Consumer,22.75,1,0.8975,High
2024-08-01,SYN-00018,Central,Small Business,35.62,1,0.8973,High
2024-07-01,SYN-00046,West,Consumer,12.79,1,0.897,High
2024-09-01,SYN-00030,East,Consumer,13.73,1,0.8965,High
2024-11-01,SYN-00427,Central,Consumer,4.7,1,0.8959,High
2024-11-01,SYN-00195,Central,Small Business,31.9,1,0.8951,High
2024-08-01,SYN-00265,West,Small Business,27.69,1,0.8951,High
2024-10-01,SYN-00154,East,Consumer,21.44,1,0.895,High
2024-11-01,SYN-00278,East,Consumer,29.93,1,0.8934,High
2024-12-01,SYN-00445,Central,Consumer,31.34,1,0.8933,High
2024-08-01,SYN-00339,Central,Consumer,10.14,1,0.8932,High
2024-07-01,SYN-00343,West,Consumer,14.73,1,0.8931,High
2024-12-01,SYN-00480,Central,Consumer,5.28,1,0.8931,High
2024-09-01,SYN-00047,Central,Consumer,42.61,1,0.891,High
2024-11-01,SYN-00011,Central,Consumer,19.88,0,0.8906,High
2024-07-01,SYN-00103,Central,Small Business,32.53,1,0.8897,High
2024-12-01,SYN-00179,West,Consumer,16.21,1,0.8895,High
2024-09-01,SYN-00007,West,Consumer,12.55,1,0.889,High
2024-08-01,SYN-00349,East,Consumer,18.15,1,0.8881,High
2024-11-01,SYN-00359,East,Consumer,36.98,1,0.8879,High
2024-09-01,SYN-00266,Central,Consumer,22.13,1,0.8874,High
2024-10-01,SYN-00472,East,Consumer,25.15,1,0.8864,High
2024-08-01,SYN-00340,West,Consumer,26.52,0,0.8861,High
2024-07-01,SYN-00248,Central,Consumer,13.07,1,0.8857,High
2024-07-01,SYN-00485,Central,Consumer,11.9,0,0.885,High
2024-11-01,SYN-00249,Central,Small Business,34.96,1,0.8848,High
2024-11-01,SYN-00131,Central,Commercial,38.06,1,0.8834,High
2024-09-01,SYN-00200,Central,Consumer,55.19,1,0.8832,High
2024-11-01,SYN-00470,East,Consumer,40.87,1,0.8822,High
2024-11-01,SYN-00469,Central,Consumer,12.19,1,0.8821,High
2024-07-01,SYN-00142,East,Small Business,37.08,1,0.8766,High
2024-10-01,SYN-00362,Central,Small Business,5.57,1,0.8761,High
2024-10-01,SYN-00052,Central,Consumer,29.11,1,0.8759,High
2024-09-01,SYN-00401,Central,Consumer,19.0,1,0.8753,High
2024-10-01,SYN-00365,East,Consumer,10.79,0,0.8744,High
2024-12-01,SYN-00028,Central,Commercial,30.64,1,0.8742,High
2024-07-01,SYN-00477,Central,Consumer,30.12,1,0.8731,High
2024-07-01,SYN-00098,Central,Consumer,37.13,1,0.8711,High
2024-09-01,SYN-00296,West,Consumer,32.24,1,0.8709,High
2024-07-01,SYN-00030,East,Consumer,13.95,1,0.8709,High
2024-08-01,SYN-00321,West,Consumer,44.63,1,0.8705,High
2024-12-01,SYN-00321,West,Consumer,38.26,1,0.8699,High
2024-07-01,SYN-00470,East,Consumer,43.71,1,0.8687,High
2024-11-01,SYN-00360,East,Consumer,5.12,1,0.8685,High
2024-11-01,SYN-00361,West,Small Business,7.22,1,0.8665,High
2024-07-01,SYN-00380,East,Consumer,9.62,1,0.8659,High
2024-07-01,SYN-00317,Central,Small Business,46.01,1,0.8657,High
2024-11-01,SYN-00152,West,Small Business,43.65,1,0.8656,High
2024-07-01,SYN-00291,West,Consumer,35.5,0,0.8643,High
2024-08-01,SYN-00021,West,Small Business,60.55,1,0.8642,High
2024-11-01,SYN-00388,West,Consumer,37.36,1,0.8638,High
2024-11-01,SYN-00366,Central,Small Business,47.46,1,0.8634,High
2024-08-01,SYN-00043,East,Small Business,45.7,1,0.8631,High
2024-08-01,SYN-00005,Central,Consumer,9.84,1,0.8623,High
2024-09-01,SYN-00493,East,Small Business,37.39,1,0.861,High
2024-10-01,SYN-00105,West,Commercial,25.97,1,0.8605,High
2024-10-01,SYN-00295,West,Consumer,47.72,1,0.8603,High
2024-08-01,SYN-00185,West,Consumer,35.6,1,0.8587,High
2024-10-01,SYN-00188,Central,Commercial,38.12,1,0.8581,High
2024-12-01,SYN-00027,East,Commercial,61.9,1,0.8552,High
2024-11-01,SYN-00247,East,Consumer,41.74,1,0.8542,High
2024-09-01,SYN-00471,Central,Consumer,13.16,1,0.854,High
2024-12-01,SYN-00388,West,Consumer,16.28,1,0.8529,High
2024-07-01,SYN-00144,East,Consumer,13.88,1,0.8527,High
2024-11-01,SYN-00372,Central,Consumer,1.34,1,0.851,High
2024-08-01,SYN-00057,East,Consumer,51.6,1,0.8501,High
2024-10-01,SYN-00081,East,Consumer,17.75,1,0.8498,High
2024-07-01,SYN-00480,Central,Consumer,6.29,1,0.846,High
2024-07-01,SYN-00088,East,Consumer,11.39,1,0.8452,High
2024-12-01,SYN-00049,East,Small Business,54.75,1,0.8445,High
2024-09-01,SYN-00398,Central,Consumer,26.75,1,0.8426,High
2024-11-01,SYN-00339,Central,Consumer,10.03,1,0.8422,High
2024-08-01,SYN-00299,West,Small Business,56.03,1,0.8419,High
2024-09-01,SYN-00019,West,Consumer,17.78,0,0.8412,High
2024-11-01,SYN-00102,East,Small Business,53.42,1,0.8406,High
2024-07-01,SYN-00214,West,Small Business,47.23,1,0.8403,High
2024-11-01,SYN-00307,Central,Small Business,13.59,1,0.8399,High
2024-07-01,SYN-00459,West,Consumer,33.45,0,0.8387,High
2024-11-01,SYN-00332,Central,Consumer,10.36,1,0.8359,High
2024-09-01,SYN-00403,West,Consumer,72.91,1,0.8357,High
2024-08-01,SYN-00256,West,Consumer,3.74,1,0.8355,High
2024-08-01,SYN-00490,East,Small Business,2.93,1,0.8355,High
2024-08-01,SYN-00145,East,Consumer,8.56,1,0.8353,High
2024-07-01,SYN-00190,Central,Consumer,9.43,1,0.83,High
2024-09-01,SYN-00348,Central,Small Business,49.0,1,0.8281,High
2024-10-01,SYN-00055,East,Consumer,43.78,1,0.8277,High
2024-08-01,SYN-00219,West,Consumer,12.87,1,0.8273,High
2024-07-01,SYN-00007,West,Consumer,25.98,1,0.8246,High
2024-10-01,SYN-00143,West,Consumer,7.67,1,0.8238,High
2024-11-01,SYN-00243,Central,Small Business,75.96,1,0.8238,High
2024-10-01,SYN-00380,East,Consumer,14.71,1,0.8237,High
2024-09-01,SYN-00499,Central,Commercial,58.8,1,0.8237,High
2024-10-01,SYN-00223,East,Consumer,15.29,1,0.8233,High
2024-12-01,SYN-00434,West,Small Business,71.34,1,0.8231,High
2024-10-01,SYN-00373,Central,Commercial,5.6,1,0.8228,High
2024-09-01,SYN-00372,Central,Consumer,13.63,0,0.8189,High
2024-10-01,SYN-00209,Central,Consumer,20.57,1,0.8174,High
2024-09-01,SYN-00463,West,Consumer,42.48,1,0.8168,High
2024-10-01,SYN-00248,Central,Consumer,9.82,1,0.8168,High
2024-08-01,SYN-00365,East,Consumer,12.01,0,0.8149,High
2024-11-01,SYN-00476,Central,Consumer,34.81,1,0.8141,High
2024-10-01,SYN-00165,East,Consumer,37.34,1,0.8097,High
2024-09-01,SYN-00008,West,Small Business,64.73,1,0.8093,High
2024-09-01,SYN-00062,East,Consumer,22.67,1,0.8092,High
2024-10-01,SYN-00062,East,Consumer,5.56,1,0.8076,High
2024-11-01,SYN-00295,West,Consumer,30.76,1,0.8075,High
2024-09-01,SYN-00017,East,Consumer,19.34,1,0.8063,High
2024-08-01,SYN-00248,Central,Consumer,13.93,1,0.8062,High
2024-12-01,SYN-00005,Central,Consumer,10.26,0,0.805,High
2024-09-01,SYN-00322,East,Consumer,13.94,1,0.8033,High
2024-07-01,SYN-00247,East,Consumer,57.69,1,0.8031,High
2024-07-01,SYN-00188,Central,Commercial,52.31,1,0.8022,High
2024-07-01,SYN-00337,Central,Small Business,28.89,1,0.7993,High
2024-11-01,SYN-00054,East,Small Business,52.97,1,0.7986,High
2024-11-01,SYN-00429,Central,Consumer,9.14,0,0.7969,High
2024-12-01,SYN-00259,Central,Consumer,31.5,1,0.796,High
2024-08-01,SYN-00218,Central,Consumer,5.64,1,0.7913,High
2024-11-01,SYN-00183,East,Consumer,26.91,1,0.7894,High
2024-07-01,SYN-00218,Central,Consumer,15.45,1,0.7879,High
2024-12-01,SYN-00429,Central,Consumer,6.63,0,0.7877,High
2024-12-01,SYN-00340,West,Consumer,21.13,1,0.7873,High
2024-07-01,SYN-00429,Central,Consumer,1.88,1,0.7871,High
2024-08-01,SYN-00023,West,Consumer,12.84,1,0.7856,High
2024-11-01,SYN-00191,West,Consumer,30.44,0,0.7839,High
2024-11-01,SYN-00139,West,Small Business,23.07,1,0.7826,High
2024-08-01,SYN-00277,Central,Consumer,24.53,1,0.7826,High
2024-07-01,SYN-00387,East,Consumer,33.71,1,0.7822,High
2024-07-01,SYN-00415,Central,Commercial,92.7,1,0.7794,High
2024-11-01,SYN-00170,West,Consumer,27.45,1,0.7788,High
2024-08-01,SYN-00039,Central,Consumer,16.94,1,0.7787,High
2024-07-01,SYN-00264,Central,Consumer,5.72,1,0.7776,High
2024-08-01,SYN-00243,Central,Small Business,58.23,1,0.7774,High
2024-11-01,SYN-00374,Central,Consumer,43.88,1,0.7774,High
2024-10-01,SYN-00078,East,Consumer,18.71,1,0.7748,High
2024-10-01,SYN-00014,West,Consumer,8.4,1,0.7738,High
2024-07-01,SYN-00346,West,Small Business,52.97,1,0.7738,High
2024-12-01,SYN-00484,Central,Consumer,83.92,1,0.7725,High
2024-09-01,SYN-00042,West,Consumer,19.0,0,0.7677,High
2024-10-01,SYN-00196,Central,Consumer,26.82,1,0.7673,High
2024-08-01,SYN-00414,West,Commercial,50.63,1,0.7668,High
2024-10-01,SYN-00419,Central,Consumer,35.5,1,0.7665,High
2024-08-01,SYN-00322,East,Consumer,28.96,0,0.7663,High
2024-10-01,SYN-00345,West,Consumer,34.47,1,0.7651,High
2024-10-01,SYN-00151,West,Consumer,26.57,0,0.7646,High
2024-08-01,SYN-00289,East,Small Business,86.01,1,0.7612,High
2024-07-01,SYN-00404,Central,Consumer,13.57,0,0.7597,High
2024-09-01,SYN-00284,Central,Consumer,6.99,1,0.7586,High
2024-07-01,SYN-00006,West,Small Business,62.5,1,0.7586,High
2024-11-01,SYN-00337,Central,Small Business,27.7,0,0.7578,High
2024-08-01,SYN-00179,West,Consumer,32.27,1,0.7562,High
2024-07-01,SYN-00444,Central,Consumer,6.02,1,0.7545,High
2024-12-01,SYN-00369,Central,Consumer,45.53,1,0.7539,High
2024-12-01,SYN-00260,East,Consumer,4.37,0,0.7532,High
2024-09-01,SYN-00011,Central,Consumer,18.91,1,0.7521,High
2024-08-01,SYN-00128,Central,Consumer,43.0,1,0.752,High
2024-11-01,SYN-00039,Central,Consumer,13.61,1,0.7502,High
2024-12-01,SYN-00465,East,Commercial,60.28,1,0.7465,High
2024-09-01,SYN-00039,Central,Consumer,7.11,1,0.7452,High
2024-11-01,SYN-00335,Central,Small Business,60.15,1,0.7447,High
2024-11-01,SYN-00069,Central,Consumer,10.07,0,0.7444,High
2024-09-01,SYN-00278,East,Consumer,33.15,1,0.7431,High
2024-10-01,SYN-00260,East,Consumer,8.94,0,0.741,High
2024-10-01,SYN-00034,Central,Consumer,9.39,1,0.7399,High
2024-07-01,SYN-00329,East,Small Business,49.71,1,0.7354,High
2024-12-01,SYN-00459,West,Consumer,22.3,1,0.735,High
2024-10-01,SYN-00181,West,Consumer,6.88,1,0.7348,High
2024-11-01,SYN-00373,Central,Commercial,10.33,1,0.734,High
2024-07-01,SYN-00378,Central,Consumer,2.99,1,0.7337,High
2024-10-01,SYN-00149,Central,Consumer,12.99,1,0.7319,High
2024-12-01,SYN-00230,Central,Consumer,39.75,1,0.7304,High
2024-10-01,SYN-00479,East,Consumer,15.71,0,0.7303,High
2024-09-01,SYN-00147,Central,Consumer,17.43,1,0.7271,High
2024-10-01,SYN-00411,East,Small Business,76.34,1,0.725,High
2024-11-01,SYN-00490,East,Small Business,12.86,0,0.724,High
2024-08-01,SYN-00007,West,Consumer,22.14,1,0.7229,High
2024-08-01,SYN-00139,West,Small Business,32.47,0,0.721,High
2024-11-01,SYN-00444,Central,Consumer,11.98,0,0.7206,High
2024-12-01,SYN-00039,Central,Consumer,9.0,1,0.7187,High
2024-12-01,SYN-00014,West,Consumer,11.43,1,0.7185,High
2024-10-01,SYN-00225,Central,Consumer,20.03,0,0.7171,High
2024-12-01,SYN-00004,East,Consumer,9.44,0,0.717,High
2024-11-01,SYN-00472,East,Consumer,22.96,1,0.7155,High
2024-07-01,SYN-00219,West,Consumer,24.54,0,0.7141,High
2024-10-01,SYN-00171,Central,Consumer,9.64,0,0.7138,High
2024-12-01,SYN-00019,West,Consumer,23.84,1,0.7126,High
2024-12-01,SYN-00190,Central,Consumer,31.95,0,0.7117,High
2024-12-01,SYN-00397,West,Consumer,43.06,1,0.7081,High
2024-12-01,SYN-00219,West,Consumer,35.85,0,0.7059,High
2024-10-01,SYN-00356,East,Consumer,1.47,1,0.7055,High
2024-07-01,SYN-00473,Central,Consumer,19.29,1,0.7052,High
2024-11-01,SYN-00160,West,Consumer,6.09,1,0.7038,High
2024-10-01,SYN-00326,East,Consumer,72.17,1,0.6985,High
2024-09-01,SYN-00323,Central,Consumer,35.72,1,0.6976,High
2024-12-01,SYN-00165,East,Consumer,19.7,1,0.6975,High
2024-11-01,SYN-00248,Central,Consumer,5.49,1,0.6947,High
2024-08-01,SYN-00445,Central,Consumer,56.81,1,0.6935,High
2024-10-01,SYN-00418,West,Consumer,29.16,0,0.693,High
2024-10-01,SYN-00315,Central,Consumer,9.35,0,0.6927,High
2024-08-01,SYN-00067,East,Small Business,73.73,1,0.69,High
2024-10-01,SYN-00431,West,Consumer,7.37,1,0.6886,High
2024-09-01,SYN-00078,East,Consumer,29.71,0,0.6883,High
2024-11-01,SYN-00322,East,Consumer,19.31,1,0.6855,High
2024-12-01,SYN-00084,Central,Consumer,30.77,0,0.6849,High
2024-09-01,SYN-00365,East,Consumer,5.2,1,0.6843,High
2024-07-01,SYN-00200,Central,Consumer,71.54,1,0.6835,High
2024-10-01,SYN-00079,East,Small Business,48.75,1,0.6805,High
2024-09-01,SYN-00429,Central,Consumer,10.37,1,0.6788,High
2024-12-01,SYN-00398,Central,Consumer,26.76,1,0.6776,High
2024-09-01,SYN-00261,Central,Small Business,44.67,1,0.6762,High
2024-12-01,SYN-00007,West,Consumer,19.47,1,0.6744,High
2024-07-01,SYN-00260,East,Consumer,9.22,1,0.6735,High
2024-10-01,SYN-00007,West,Consumer,6.0,1,0.6698,High
2024-07-01,SYN-00233,West,Consumer,79.2,1,0.6679,High
2024-12-01,SYN-00202,West,Consumer,14.76,1,0.6676,High
2024-09-01,SYN-00321,West,Consumer,37.79,1,0.6653,High
2024-07-01,SYN-00389,Central,Consumer,77.42,1,0.6641,High
2024-07-01,SYN-00166,Central,Small Business,91.05,1,0.6606,High
2024-12-01,SYN-00487,East,Consumer,20.89,0,0.6587,High
2024-07-01,SYN-00195,Central,Small Business,60.43,1,0.6576,High
2024-10-01,SYN-00496,East,Consumer,28.09,1,0.656,High
2024-11-01,SYN-00138,East,Small Business,83.82,1,0.6537,High
2024-08-01,SYN-00090,East,Consumer,57.9,1,0.644,High
2024-11-01,SYN-00308,East,Consumer,9.4,0,0.6416,High
2024-09-01,SYN-00004,East,Consumer,11.55,1,0.6413,High
2024-09-01,SYN-00061,East,Consumer,29.22,1,0.638,High
2024-10-01,SYN-00429,Central,Consumer,16.26,0,0.6369,High
2024-10-01,SYN-00488,Central,Consumer,21.3,1,0.6344,High
2024-07-01,SYN-00073,West,Consumer,16.2,1,0.6329,High
2024-10-01,SYN-00033,Central,Consumer,32.41,0,0.6315,High
2024-09-01,SYN-00293,West,Consumer,2.52,1,0.6294,High
2024-07-01,SYN-00078,East,Consumer,43.73,0,0.6289,High
2024-08-01,SYN-00427,Central,Consumer,22.0,1,0.6276,High
2024-09-01,SYN-00480,Central,Consumer,22.31,1,0.6231,High
2024-10-01,SYN-00240,Central,Consumer,27.27,1,0.6203,High
2024-11-01,SYN-00309,Central,Consumer,43.58,1,0.6114,High
2024-12-01,SYN-00485,Central,Consumer,18.75,0,0.609,High
2024-07-01,SYN-00069,Central,Consumer,18.43,0,0.6088,High
2024-12-01,SYN-00168,West,Commercial,30.46,0,0.6068,High
2024-12-01,SYN-00150,Central,Consumer,60.1,1,0.6062,High
2024-09-01,SYN-00092,East,Consumer,4.79,0,0.6046,High
2024-07-01,SYN-00023,West,Consumer,36.53,1,0.6033,High
2024-07-01,SYN-00004,East,Consumer,5.0,1,0.5982,High
2024-10-01,SYN-00413,Central,Small Business,26.74,0,0.5957,High
2024-09-01,SYN-00050,Central,Consumer,19.46,1,0.595,High
2024-09-01,SYN-00196,Central,Consumer,49.41,1,0.5943,High
2024-12-01,SYN-00334,West,Consumer,30.53,0,0.586,High
2024-08-01,SYN-00498,East,Consumer,10.3,0,0.5843,High
2024-08-01,SYN-00069,Central,Consumer,14.88,1,0.5841,High
2024-08-01,SYN-00192,Central,Small Business,78.04,1,0.5834,High
2024-07-01,SYN-00493,East,Small Business,50.82,1,0.5819,High
2024-09-01,SYN-00069,Central,Consumer,17.23,0,0.5817,High
2024-08-01,SYN-00352,Central,Consumer,32.77,1,0.5814,High
2024-10-01,SYN-00178,West,Consumer,74.06,1,0.5795,High
2024-07-01,SYN-00026,Central,Consumer,63.2,1,0.5791,High
2024-10-01,SYN-00306,East,Consumer,16.87,0,0.5774,High
2024-08-01,SYN-00229,East,Consumer,19.73,0,0.5773,High
2024-08-01,SYN-00052,Central,Consumer,45.22,0,0.5767,High
2024-11-01,SYN-00126,East,Consumer,33.88,1,0.5746,High
2024-09-01,SYN-00444,Central,Consumer,13.48,0,0.5738,High
2024-10-01,SYN-00233,West,Consumer,88.71,1,0.5718,High
2024-10-01,SYN-00395,Central,Small Business,66.14,0,0.5717,High
2024-11-01,SYN-00036,Central,Consumer,22.33,1,0.5693,High
2024-08-01,SYN-00407,Central,Consumer,57.03,1,0.5688,High
2024-08-01,SYN-00171,Central,Consumer,20.94,0,0.5685,High
2024-10-01,SYN-00254,Central,Consumer,26.41,0,0.5684,High
2024-11-01,SYN-00053,West,Consumer,19.83,0,0.5676,High
2024-09-01,SYN-00145,East,Consumer,12.25,1,0.5665,High
2024-09-01,SYN-00028,Central,Commercial,64.28,1,0.5658,High
2024-08-01,SYN-00254,Central,Consumer,21.34,0,0.5657,High
2024-10-01,SYN-00404,Central,Consumer,19.11,0,0.5651,High
2024-07-01,SYN-00361,West,Small Business,41.25,0,0.5618,High
2024-12-01,SYN-00413,Central,Small Business,23.26,1,0.5601,High
2024-12-01,SYN-00144,East,Consumer,21.66,1,0.5579,High
2024-09-01,SYN-00462,Central,Consumer,22.91,0,0.5555,High
2024-11-01,SYN-00186,East,Consumer,15.72,1,0.5516,High
2024-08-01,SYN-00485,Central,Consumer,17.61,0,0.5483,High
2024-08-01,SYN-00031,West,Small Business,72.06,1,0.5475,High
2024-09-01,SYN-00084,Central,Consumer,21.69,1,0.5467,High
2024-08-01,SYN-00413,Central,Small Business,28.32,0,0.5459,High
2024-10-01,SYN-00422,Central,Small Business,73.09,1,0.5443,High
